Title,Price,ISBN-10,Author,Format,Pages,Publisher,Language,Weight,Dimensions,Case pack,Availability
Where Have You Been?,16.99,60283785,"Margaret Wise Brown, Leo and Diane Dillon",Hardcover,32,"HarperCollins (May 11, 2004)",English,13.76oz,"8.5"" x 11""",40,InStock
Roar! (A Noisy Counting Book),17.99,006028384X,"Pamela Duncan Edwards, Henry Cole",Hardcover,32,"HarperCollins (April 26, 2000)",English,15.04oz,"10"" x 10""",30,InStock
River Boy (The Story of Mark Twain),17.99,60284005,"William Anderson, Dan Andreasen",Hardcover,40,"HarperCollins (February 18, 2003)",English,13.76oz,"8.5"" x 11"" x 0.34""",40,InStock
I Gotta Draw,16.99,006028417X,"Bruce Degen, Bruce Degen",Hardcover,40,"HarperCollins (June 5, 2012)",English,14.16oz,"11"" x 8.5""",38,InStock
Wiggling Worms at Work,16.99,006028448X,"Wendy Pfeffer, Steve Jenkins",Hardcover,40,"HarperCollins (December 23, 2003)",English,12.32oz,"10"" x 8""",40,InStock
The Giving Tree Slipcase Mini Edition,17.99,006028451X,"Shel Silverstein, Shel Silverstein",Hardcover,64,"HarperCollins (October 20, 1999)",English,10.56oz,"5.5"" x 6.75""",48,InStock
I'll Be You and You Be Me,16.99,60284595,"Ruth Krauss, Maurice Sendak",Hardcover,40,"HarperCollins (May 22, 2001)",English,10.24oz,"7.375"" x 9"" x 0.379""",52,InStock
The Moon Jumpers,17.95,60284609,"Janice May Udry, Maurice Sendak",Hardcover,32,"HarperCollins (February 19, 2013)",English,12.16oz,"7.25"" x 10""",36,InStock
How Little Lori Visited Times Square,16.95,60284625,"Amos Vogel, Maurice Sendak",Hardcover,64,"HarperCollins (May 22, 2001)",English,7.68oz,"7.38"" x 5.25"" x 0.46""",76,InStock
Good Thing You're Not an Octopus!,17.99,006028465X,"Julie Markes, Maggie Smith",Hardcover,40,"HarperCollins (February 20, 2001)",English,13.12oz,"8.75"" x 10"" x 0.34""",40,InStock
Zlateh the Goat and Other Stories,18.99,60284773,"Isaac Bashevis Singer, Maurice Sendak",Hardcover,104,"HarperCollins (May 22, 2001)",English,15.04oz,"6"" x 8.88"" x 0.63""",40,InStock
Higglety Pigglety Pop! (Or There Must Be More to Life),16.95,006028479X,"Maurice Sendak, Maurice Sendak",Hardcover,80,"HarperCollins (May 22, 2001)",English,9.28oz,"6.75"" x 6.75"" x 0.51""",60,InStock
Sammy the Seal,16.99,60285451,"Syd Hoff, Syd Hoff",Hardcover,64,"HarperCollins (January 5, 2000)",English,9.6oz,"6"" x 9"" x 0.41""",40,InStock
Incredible Me!,17.99,60286229,"Kathi Appelt, G. Brian Karas",Hardcover,32,"HarperCollins (February 4, 2003)",English,16oz,"8"" x 9.25"" x 0.33""",40,InStock
Open House for Butterflies,15.95,60286369,"Ruth Krauss, Maurice Sendak",Hardcover,48,"HarperCollins (December 4, 2001)",English,6.24oz,"5.12"" x 6.5""",80,InStock
Charlotte and The White Horse,15.99,60286407,"Ruth Krauss, Maurice Sendak",Hardcover,32,"HarperCollins (December 4, 2001)",English,5.12oz,"5.125"" x 6.4375"" x 0.3532""",100,InStock
Hector Protector and As I Went Over the Water (Two Nursery Rhymes),19.95,60286423,"Maurice Sendak, Maurice Sendak",Hardcover,64,"HarperCollins (November 6, 2001)",English,10.72oz,"8.38"" x 7.12"" x 0.48""",52,InStock
Biscuit Goes to School,16.99,60286822,"Alyssa Satin Capucilli, Pat Schories",Hardcover,32,"HarperCollins (July 23, 2002)",English,7.36oz,"6"" x 9"" x 0.33""",52,InStock
My Favorite Things,17.99,60287101,"Richard Rodgers, Renee Graef, Oscar Hammerstein II",Hardcover,32,"HarperCollins (May 22, 2001)",English,16oz,"9"" x 10.25"" x 0.33""",40,InStock
I Loved You Before You Were Born,17.99,60287209,"Anne Bowen, Greg Shed",Hardcover,32,"HarperCollins (April 10, 2001)",English,12.16oz,"9"" x 9"" x 0.32""",40,InStock
"Chicken Said, ""Cluck!""",16.99,60287233,"Judyann Ackerman Grant, Sue Truesdell",Hardcover,32,"HarperCollins (October 14, 2008)",English,8oz,"6"" x 9"" x 0.38""",60,InStock
"Does a Kangaroo Have a Mother, Too?",18.89,60287675,"Eric Carle, Eric Carle",Hardcover,32,"HarperCollins (March 22, 2000)",English,13.36oz,"11"" x 8.75"" x 0.32""",40,InStock
black is brown is tan,17.99,60287764,"Arnold Adoff, Emily Arnold McCully",Hardcover,40,"HarperCollins (March 26, 2002)",English,13.6oz,"8.5"" x 11""",40,InStock
Circus Girl,19.95,60287837,"Jack Sendak, Maurice Sendak",Hardcover,32,"HarperCollins (October 15, 2002)",English,10.8oz,"7.25"" x 9.62"" x 0.35""",48,InStock
Galapagos George,15.99,60287934,"Jean Craighead George, Wendell Minor",Hardcover,40,"HarperCollins (April 8, 2014)",English,15.04oz,"10"" x 10""",36,InStock
The Sign on Rosie's Door,16.95,60287950,"Maurice Sendak, Maurice Sendak",Hardcover,48,"HarperCollins (October 15, 2002)",English,10oz,"6.62"" x 8.75"" x 0.4""",56,InStock
I Love Planes!,16.99,60288981,"Philemon Sturges, Shari Halpern",Hardcover,32,"HarperCollins (March 18, 2003)",English,11.52oz,"10"" x 8.75"" x 0.32""",40,InStock
I Love Trains!,15.99,60289007,"Philemon Sturges, Shari Halpern",Hardcover,32,"HarperCollins (April 24, 2001)",English,11.44oz,"10"" x 8.75"" x 0.33""",40,InStock
All by Myself!,17.99,60289295,"Aliki, Aliki",Hardcover,32,"HarperCollins (August 22, 2000)",English,12oz,"11"" x 7"" x 0.32""",40,InStock
The Stray Dog,17.99,60289333,"Marc Simont, Marc Simont",Hardcover,32,"HarperCollins (January 9, 2001)",English,16oz,"8.5"" x 10.62"" x 0.33""",38,InStock
The Trumpet of the Swan,17.99,006028935X,"E. B. White, Fred Marcellino",Hardcover,272,"HarperCollins (October 3, 2000)",English,20.8oz,"5.38"" x 8"" x 1.01""",28,InStock
My Mommy Hung the Moon (A Love Story),17.99,60290161,"Jamie Lee Curtis, Laura Cornell",Hardcover,40,"HarperCollins (September 7, 2010)",English,15.84oz,"11"" x 9.5""",24,InStock
Cobweb Christmas (The Tradition of Tinsel),17.99,60290331,"Shirley Climo, Jane Manning",Hardcover,32,"HarperCollins (October 2, 2001)",English,14.75oz,"10"" x 9.38"" x 0.33""",40,InStock
Light Is All Around Us,17.99,60291214,"Wendy Pfeffer, Paul Meisel",Hardcover,40,"HarperCollins (February 25, 2014)",English,12.16oz,"10"" x 8""",40,InStock
White Christmas,16.99,60291230,"Irving Berlin, Michael Hague",Hardcover,32,"HarperCollins (September 28, 2010)",English,10.24oz,"8.5"" x 11""",40,InStock
Muhammad Ali (The People's Champion),16.99,60291311,"Walter Dean Myers, Alix Delinois",Hardcover,40,"HarperCollins (December 29, 2009)",English,14.4oz,"9"" x 11""",30,InStock
Miss Dorothy and Her Bookmobile,17.99,60291559,"Gloria Houston, Susan Condie Lamb",Hardcover,32,"HarperCollins (January 25, 2011)",English,16oz,"10"" x 8.75"" x 0.38""",40,InStock
Biscuit's Big Friend,16.99,60291672,"Alyssa Satin Capucilli, Pat Schories",Hardcover,32,"HarperCollins (July 1, 2003)",English,6.96oz,"6"" x 9"" x 0.33""",52,InStock
Where the Sidewalk Ends Book and CD (Poems and Drawings),23.99,60291699,"Shel Silverstein, Shel Silverstein",Hardcover,176,"HarperCollins (October 3, 2000)",English,23.26oz,"6.75"" x 8.75"" x 0.89""",16,InStock
Dinosaur Train,17.99,60292458,"John Steven Gurney, John Steven Gurney",Hardcover,32,"HarperCollins (September 17, 2002)",English,16oz,"9"" x 9""",40,InStock
The Broken Cat,16.99,60292636,"Lynne Rae Perkins, Lynne Rae Perkins",Hardcover,32,"HarperCollins (March 26, 2002)",English,12.48oz,"9"" x 9""",40,InStock
Earthshake (Poems from the Ground Up),17.99,60292652,"Lisa Westberg Peters, Cathie Felstead",Hardcover,32,"HarperCollins (August 5, 2003)",English,14.4oz,"9"" x 10.5""",40,InStock
White Is for Blueberry,17.99,006029275X,"George Shannon, Laura Dronzek",Hardcover,40,"HarperCollins (March 29, 2005)",English,13.76oz,"11"" x 8.5""",40,InStock
The Wonderful Wizard of Oz (100th Anniversary Edition),29.99,60293233,"L. Frank Baum, W.  W. Denslow",Hardcover,272,"HarperCollins (October 3, 2000)",English,32.8oz,"6.75"" x 9""",16,InStock
Rocks in His Head,17.99,60294035,"Carol Otis Hurst, James Stevenson",Hardcover,32,"HarperCollins (May 8, 2001)",English,10.88oz,"8"" x 10""",40,InStock
I Know It's Autumn,16.99,60294221,"Eileen Spinelli, Nancy Hayashi",Hardcover,32,"HarperCollins (July 27, 2004)",English,13.76oz,"8.5"" x 11""",40,InStock
Sheila Rae's Peppermint Stick,6.99,60294515,"Kevin Henkes, Kevin Henkes",Board Book,24,"HarperCollins (August 7, 2001)",English,7.04oz,"6"" x 6""",80,InStock
"Amber Was Brave, Essie Was Smart",21.99,60294604,"Vera B. Williams, Vera B. Williams",Hardcover,72,"HarperCollins (August 21, 2001)",English,12.72oz,"6.5"" x 9.62""",40,InStock
Turtle Splash! (Countdown at the Pond),17.99,60294620,"Cathryn Falwell, Cathryn Falwell",Hardcover,32,"HarperCollins (August 7, 2001)",English,13.44oz,"10.5"" x 8.5""",40,InStock
Bronzeville Boys and Girls,16.99,60295058,"Gwendolyn Brooks, Faith Ringgold",Hardcover,48,"HarperCollins (December 26, 2006)",English,16oz,"9"" x 11""",34,InStock
Bad Boy (A Memoir),18.99,60295236,Walter Dean Myers,Hardcover,224,"HarperCollins (May 8, 2001)",English,11.2oz,"5.5"" x 8.25"" x 0.81""",32,InStock
A Sock Is a Pocket for Your Toes (A Pocket Book),16.99,60295260,"Elizabeth Garton Scanlon, Robin Preiss Glasser",Hardcover,32,"HarperCollins (March 2, 2004)",English,12.64oz,"9"" x 9""",40,InStock
How People Learned to Fly,16.99,60295589,"Fran Hodgkins, True Kelley",Hardcover,40,"HarperCollins (October 16, 2007)",English,11.84oz,"10"" x 8""",46,InStock
On the Town (A Community Adventure),17.99,60295848,"Judith Caseley, Judith Caseley",Hardcover,32,"HarperCollins (March 26, 2002)",English,12oz,"8.5"" x 11""",50,InStock
I Used to Be the Baby,17.99,60295864,"Robin Ballard, Robin Ballard",Hardcover,24,"HarperCollins (March 26, 2002)",English,11.04oz,"10"" x 8""",40,InStock
My Car,16.99,60296240,"Byron Barton, Byron Barton",Hardcover,40,"HarperCollins (August 7, 2001)",English,13.28oz,"9"" x 9""",40,InStock
The Easter Bunny That Overslept,16.99,60296453,"Priscilla & Otto Friedrich, Donald Saaf",Hardcover,32,"HarperCollins (January 22, 2002)",English,13.44oz,"8.5"" x 11"" x 0.33""",40,InStock
Paddington Bear in the Garden,16.99,60296968,"Michael Bond, R. W. Alley",Hardcover,40,"HarperCollins (January 22, 2002)",English,12.48oz,"9"" x 9"" x 0.34""",40,InStock
Dinosaur Hunt (Texas-115 Million Years Ago),18.99,60297034,"Karen Carr, Karen Carr",Hardcover,48,"HarperCollins (October 8, 2002)",English,17.12oz,"11"" x 9""",30,InStock
Moonlight (The Halloween Cat),17.99,60297115,"Cynthia Rylant, Melissa Sweet",Hardcover,32,"HarperCollins (August 14, 2003)",English,14.4oz,"10"" x 10"" x 0.32""",30,InStock
Very Far Away,19.99,60297239,"Maurice Sendak, Maurice Sendak",Hardcover,56,"HarperCollins (November 8, 2005)",English,9.36oz,"6.125"" x 7.875"" x 0.4306""",64,InStock
"What's Up, What's Down?",17.99,60297573,"Lola M. Schaefer, Barbara Bash",Hardcover,32,"HarperCollins (August 6, 2002)",English,12.88oz,"11"" x 8""",40,InStock
The Porcupine Year,16.99,60297875,"Louise Erdrich, Louise Erdrich",Hardcover,208,"HarperCollins (September 2, 2008)",English,10.64oz,"5.5"" x 8.25"" x 0.77""",28,InStock
Flowers in the Sky,17.99,60297948,Lynn Joseph,Hardcover,240,"HarperCollins (March 5, 2013)",English,8.96oz,"5"" x 7.12"" x 0.85""",56,InStock
A Series of Unfortunate Events Box: The Trouble Begins (Books 1-3),41.99,006029809X,"Lemony Snicket, Brett Helquist",Hardcover,,"HarperCollins (October 2, 2001)",English,28.24oz,"5.25"" x 7.44""",12,InStock
Mystic Horse,17.99,60298138,"Paul Goble, Paul Goble",Hardcover,40,"HarperCollins (April 1, 2003)",English,14.08oz,"8.5"" x 11""",40,InStock
"Tippy-Toe Chick, Go!",17.99,60298235,"George Shannon, Laura Dronzek",Hardcover,32,"HarperCollins (January 21, 2003)",English,13.44oz,"9.5"" x 9.5""",40,InStock
Water Hole Waiting,17.99,60298502,"Jane Kurtz, & Christopher, Lee Christiansen",Hardcover,32,"HarperCollins (March 26, 2002)",English,13.76oz,"8.5"" x 11""",40,InStock
Celestial Harmonies (A Novel),18.99,60501081,Peter Esterhazy,Paperback,880,"HarperCollins (March 15, 2005)",English,28.8oz,"5.31"" x 8"" x 1.98""",6,InStock
Eating My Words (An Appetite for Life),13.99,60501103,Mimi Sheraton,Paperback,256,"HarperCollins (March 28, 2006)",English,8.96oz,"5.31"" x 8"" x 0.58""",72,InStock
I'll Take You There (A Novel),16.99,60501189,Joyce Carol Oates,Paperback,304,"HarperCollins (September 16, 2003)",English,8.64oz,"5.31"" x 8"" x 0.68""",48,InStock
The Gospel of Food (Why We Should Stop Worrying and Enjoy What We Eat),14.99,60501227,Barry Glassner,Paperback,320,"HarperCollins (December 26, 2007)",English,8.64oz,"5.31"" x 8"" x 0.72""",56,InStock
The Commissariat of Enlightenment (A Novel),16.99,60501391,Ken Kalfus,Paperback,304,"HarperCollins (February 3, 2004)",English,10.24oz,"5.31"" x 8"" x 0.68""",64,InStock
A Disorder Peculiar to the Country (A Novel),16.99,60501413,Ken Kalfus,Paperback,256,"HarperCollins (December 12, 2006)",English,16oz,"5"" x 8"" x 0.58""",64,InStock
The Point of Return (A Novel),16.99,60501537,Siddhartha Deb,Paperback,320,"HarperCollins (March 2, 2004)",English,12.16oz,"5.31"" x 8"" x 0.72""",28,InStock
An Outline of the Republic (A Novel),13.95,006050157X,Siddhartha Deb,Paperback,336,"HarperCollins (March 14, 2006)",English,10.24oz,"5.31"" x 8"" x 0.76""",60,InStock
First Day of School,16.99,006050191X,"Anne Rockwell, Lizzy Rockwell",Hardcover,40,"HarperCollins (June 21, 2011)",English,11.84oz,"9"" x 9"" x 0.35""",36,InStock
Presidents' Day,16.99,60501944,"Anne Rockwell, Lizzy Rockwell",Hardcover,40,"HarperCollins (December 26, 2007)",English,12.64oz,"9"" x 9""",44,InStock
St. Patrick's Day,14.99,60501979,"Anne Rockwell, Lizzy Rockwell",Hardcover,40,"HarperCollins (January 26, 2010)",English,11.84oz,"9"" x 9""",40,InStock
Final Account,8.99,60502169,Peter Robinson,Paperback,320,"HarperCollins (September 28, 2004)",English,16oz,"4.19"" x 6.75"" x 0.8""",48,InStock
To Wed a Stranger,7.99,60502177,Edith Layton,Paperback,384,"HarperCollins (February 25, 2003)",English,6.64oz,"4.19"" x 6.75"" x 0.96""",48,InStock
The Sledding Hill,9.99,60502452,Chris Crutcher,Paperback,256,"HarperCollins (September 19, 2006)",English,5.12oz,"5"" x 7.12"" x 0.51""",72,InStock
King of the Mild Frontier (An Ill-Advised Autobiography),10.99,60502517,Chris Crutcher,Paperback,272,"HarperCollins (October 5, 2004)",English,16oz,"5.31"" x 8"" x 0.61""",60,InStock
T. Rex Trick-or-Treats,7.99,60502541,"Lois G. Grambling, Jack E. Davis",Paperback,32,"HarperCollins (July 22, 2008)",English,16oz,"8"" x 10""",120,InStock
I Love You All Day Long,7.99,60502789,"Francesca Rusackas, Priscilla Burris",Paperback,32,"HarperCollins (December 14, 2004)",English,5.6oz,"10"" x 8"" x 0.08""",120,InStock
A Perfect Groom,7.99,60502797,Samantha James,Paperback,384,"HarperCollins (November 30, 2004)",English,6.16oz,"4.19"" x 6.75"" x 0.96""",48,InStock
The Kennedy Men (1901-1963),24.99,60502886,Laurence Leamer,Paperback,928,"HarperCollins (October 15, 2002)",English,33.76oz,"6"" x 9.12"" x 1.48""",16,InStock
Zap the Gaps! (Target Higher Performance and Achieve It!),19.99,60503009,"Ken Blanchard, Dana Robinson, Jim Robinson",Hardcover,160,"HarperCollins (May 28, 2002)",English,10.88oz,"5.5"" x 8.25"" x 0.69""",56,InStock
Alaska (Saga of a Bold Land),16.99,60503076,Walter R. Borneman,Paperback,640,"HarperCollins (January 20, 2004)",English,20oz,"6"" x 9"" x 1.02""",24,InStock
Isabel's Daughter (A Novel),14.99,60503475,Judith R. Hendricks,Paperback,400,"HarperCollins (June 29, 2004)",English,12.16oz,"5.31"" x 8"" x 0.91""",48,InStock
Wemberly's Ice-Cream Star,6.99,60504056,"Kevin Henkes, Kevin Henkes",Board Book,24,"HarperCollins (April 15, 2003)",English,7.36oz,"6"" x 6""",80,InStock
Small Wonder (Essays),23.95,60504072,Barbara Kingsolver,Hardcover,288,"HarperCollins (April 2, 2002)",English,16oz,"5.62"" x 8.25"" x 0.92""",12,InStock
The Color of Death,7.99,60504145,Elizabeth Lowell,Paperback,432,"HarperCollins (May 24, 2005)",English,7.36oz,"4.19"" x 6.75"" x 1.08""",48,InStock
Always Time to Die,7.99,60504196,Elizabeth Lowell,Paperback,480,"HarperCollins (May 30, 2006)",English,8.4oz,"4.19"" x 6.75"" x 0.96""",48,InStock
When Harriet Met Sojourner,16.99,60504250,"Catherine Clinton, Shane W. Evans",Hardcover,32,"HarperCollins (October 16, 2007)",English,15.04oz,"10"" x 10""",36,InStock
My Friend the Doctor,7.99,60505001,"Joanna Cole, Maxie Chambliss",Hardcover,32,"HarperCollins (July 26, 2005)",English,5.7oz,"6.25"" x 7""",100,InStock
Afghanistan (A Short History of Its People and Politics),15.99,60505087,Martin Ewans,Paperback,368,"HarperCollins (September 17, 2002)",English,11.2oz,"5.31"" x 8"" x 0.83""",52,InStock
"Narcocorrido (A Journey into the Music of Drugs, Guns, and Guerrillas)",16.99,60505109,Elijah Wald,Paperback,368,"HarperCollins (October 22, 2002)",English,9.73oz,"5.31"" x 8"" x 0.83""",52,InStock
Empire of Wealth (The Epic History of American Economic Power),17.99,60505125,John Steele Gordon,Paperback,496,"HarperCollins (October 25, 2005)",English,13.76oz,"5.31"" x 8"" x 1.12""",36,InStock
The Bridge,15.99,60505214,Doug Marlette,Paperback,400,"HarperCollins (November 5, 2002)",English,11.81oz,"5.31"" x 8"" x 0.9""",48,InStock
From the Land of Green Ghosts (A Burmese Odyssey),16.99,60505230,Pascal Khoo Thwe,Paperback,336,"HarperCollins (December 2, 2003)",English,8.32oz,"5.31"" x 8"" x 0.76""",56,InStock
The Sewing Circles of Herat (A Personal Voyage Through Afghanistan),16.99,60505273,Christina Lamb,Paperback,384,"HarperCollins (February 3, 2004)",English,12.48oz,"5.31"" x 8"" x 0.86""",48,InStock
The Skeptic (A Life of H. L. Mencken),18.99,006050529X,Terry Teachout,Paperback,448,"HarperCollins (November 4, 2003)",English,16oz,"5.31"" x 8"" x 1.01""",40,InStock
The Double-Goal Coach (Positive Coaching Tools for Honoring the Game and Developing Winners in Sports and Life),16.99,60505311,Jim Thompson,Paperback,368,"HarperCollins (August 12, 2003)",English,16oz,"5.31"" x 8"" x 0.83""",52,InStock
Terror in the Name of God (Why Religious Militants Kill),16.99,60505338,Jessica Stern,Paperback,400,"HarperCollins (August 17, 2004)",English,16oz,"5.31"" x 8"" x 0.9""",48,InStock
Pressure Perfect (Two Hour Taste in Twenty Minutes Using Your Pressure Cooker),26.99,60505346,Lorna J. Sass,Hardcover,368,"HarperCollins (January 6, 2004)",English,21.76oz,"6"" x 9"" x 1.17""",20,InStock
Cultivating Delight (A Natural History of My Garden),13.99,60505362,Diane Ackerman,Paperback,272,"HarperCollins (October 1, 2002)",English,7.65oz,"5.31"" x 8"" x 0.61""",68,InStock
"The Rant Zone (An All-Out Blitz Against Soul-Sucking Jobs, Twisted Child Stars, Holistic Loons, and People Who Eat Their Dogs!)",14.99,60505370,Dennis Miller,Paperback,208,"HarperCollins (August 20, 2002)",English,7.26oz,"5.31"" x 8"" x 0.47""",88,InStock
8 Minutes in the Morning(R) (A Simple Way to Shed Up to 2 Pounds a Week GUARANTEED),16.99,60505389,Jorge Cruise,Paperback,288,"HarperCollins (December 24, 2002)",English,18.08oz,"7.5"" x 9.12"" x 0.79""",32,InStock
Bet Your Life,15.99,60505400,Richard Dooling,Paperback,352,"HarperCollins (October 14, 2003)",English,9.36oz,"5.31"" x 8"" x 0.79""",52,InStock
Saddam (His Rise and Fall),16.99,60505435,Con Coughlin,Paperback,448,"HarperCollins (October 18, 2005)",English,16.64oz,"5.31"" x 8"" x 1.01""",40,InStock
A Question of Loyalty,16.99,60505486,Douglas C. Waller,Paperback,480,"HarperCollins (August 23, 2005)",English,15.68oz,"5.31"" x 8"" x 1.08""",40,InStock
"The Man Time Forgot (A Tale of Genius, Betrayal, and the Creation of Time Magazine)",15.95,60505508,Isaiah Wilner,Paperback,384,"HarperCollins (October 16, 2007)",English,11.44oz,"5.31"" x 8"" x 0.86""",52,InStock
To the Heart of the Nile (Lady Florence Baker and the Exploration of Central Africa),16.99,60505575,Pat Shipman,Paperback,448,"HarperCollins (December 28, 2004)",English,15.17oz,"5.31"" x 8"" x 1.02""",40,InStock
Paradise of the Blind (A Novel),14.99,60505591,"Thu Huong Duong, Nina McPherson",Paperback,272,"HarperCollins (August 20, 2002)",English,7.36oz,"5.31"" x 8"" x 0.61""",68,InStock
Once a Dreamer,7.99,60505621,Candice Hern,Paperback,384,"HarperCollins (December 31, 2002)",English,6.64oz,"4.19"" x 6.75"" x 0.96""",48,InStock
Foods That Combat Cancer (The Nutritional Way to Wellness),6.99,60505648,Maggie Greenwood-Robinson,Paperback,240,"HarperCollins (May 27, 2003)",English,4.16oz,"4.19"" x 6.75"" x 0.6""",48,InStock
A Taste of Reality,14.99,60505672,Kimberla Lawson Roby,Paperback,320,"HarperCollins (February 17, 2004)",English,16oz,"5.31"" x 8"" x 0.72""",60,InStock
Uncomfortably Close (A Novel),14.99,60505702,Lily Brett,Paperback,288,"HarperCollins (November 6, 2007)",English,8.96oz,"5.31"" x 8"" x 0.65""",52,InStock
The Perfect Lover,8.99,60505729,Stephanie Laurens,Paperback,416,"HarperCollins (February 24, 2004)",English,16oz,"4.19"" x 6.75"" x 1.04""",48,InStock
The Ideal Bride,7.99,60505745,Stephanie Laurens,Paperback,448,"HarperCollins (March 1, 2005)",English,7.52oz,"4.19"" x 6.75"" x 1.12""",48,InStock
The Truth About Love,7.5,60505761,Stephanie Laurens,Paperback,448,"HarperCollins (January 31, 2006)",English,7.84oz,"4.19"" x 6.75"" x 1.12""",48,InStock
Coming to America (Second Edition) (A History of Immigration and Ethnicity in American Life),18.99,006050577X,Roger Daniels,Paperback,576,"HarperCollins (October 22, 2002)",English,14.08oz,"5.31"" x 8"" x 1.3""",32,InStock
Mars and Venus in Love (Inspiring and Heartfelt Stories of Relationships That Work),15.99,60505788,John Gray,Paperback,208,"HarperCollins (November 12, 2002)",English,16oz,"5.31"" x 8"" x 0.47""",72,InStock
At the Entrance to the Garden of Eden (A Jew's Search for Hope with Christians and Muslims in the Holy Land),16.99,60505826,Yossi Klein Halevi,Paperback,336,"HarperCollins (June 18, 2002)",English,13.44oz,"6.125"" x 9.25"" x 0.7636""",32,InStock
"The Sweet Season (A Sportswriter Rediscovers Football, Family, and a Bit of Faith at Minnesota's St. John's University)",13.99,60505842,Austin Murphy,Paperback,336,"HarperCollins (August 20, 2002)",English,10.08oz,"5.31"" x 8"" x 0.76""",56,InStock
Another Planet (A Year in the Life of a Suburban High School),13.99,60505850,Elinor Burkett,Paperback,352,"HarperCollins (August 20, 2002)",English,10.72oz,"5.31"" x 8"" x 0.8""",52,InStock
Seldom Disappointed (A Memoir),16.99,60505869,Tony Hillerman,Paperback,368,"HarperCollins (October 1, 2002)",English,16oz,"5.31"" x 8"" x 0.83""",52,InStock
The Scandalous Summer of Sissy LeBlanc (A Novel),13.99,60505885,Loraine Despres,Paperback,352,"HarperCollins (August 6, 2002)",English,9.04oz,"5.31"" x 8"" x 0.79""",52,InStock
The Sweet Hell Inside (The Rise of an Elite Black Family in the Segregated South),13.99,60505907,Edward Ball,Paperback,432,"HarperCollins (November 5, 2002)",English,13.12oz,"5.31"" x 8"" x 0.97""",44,InStock
The Good Mother (A Novel),14.99,60505931,Sue Miller,Paperback,320,"HarperCollins (September 17, 2002)",English,9.92oz,"5.3125"" x 8"" x 0.7207""",40,InStock
A History of the Twentieth Century (The Concise Edition of the Acclaimed World History),23.99,006050594X,Martin Gilbert,Paperback,832,"HarperCollins (December 17, 2002)",English,16oz,"6"" x 9"" x 1.33""",16,InStock
Worlds Enough & Time (Five Tales of Speculative Fiction),14.99,60506040,Dan Simmons,Paperback,272,"HarperCollins (November 26, 2002)",English,10.56oz,"5.31"" x 8"" x 0.61""",24,InStock
Clara Callan (A Novel),14.99,60506075,Richard B. Wright,Paperback,432,"HarperCollins (December 2, 2003)",English,13.6oz,"5.31"" x 8"" x 0.97""",44,InStock
The Complete C.S. Lewis Signature Classics,49.99,60506083,C. S. Lewis,Hardcover,512,"HarperCollins (October 22, 2002)",English,51.52oz,"8.5"" x 10.875"" x 1.53""",10,InStock
Pain Killers (A Novel),14.99,60506660,Jerry Stahl,Paperback,448,"HarperCollins (March 16, 2010)",English,11.92oz,"5.31"" x 8"" x 1.01""",44,InStock
My Weird School #4: Ms. Hannah Is Bananas!,4.99,60507063,"Dan Gutman, Jim Paillot",Paperback,96,"HarperCollins (November 9, 2004)",English,2.46oz,"5.12"" x 7.62"" x 0.19""",172,InStock
The Story of the Easter Bunny,12.99,006050711X,"Katherine Tegen, Sally Anne Lambert",Hardcover,40,"HarperCollins (January 18, 2005)",English,10.8oz,"8.5"" x 8.5""",38,InStock
The Attitude Is Everything Workbook (Strategies and Tools for Developing Personal and Professional Success),16.99,60507136,Keith Harrell,Paperback,272,"HarperCollins (December 24, 2002)",English,17.28oz,"7.38"" x 9.25"" x 0.68""",16,InStock
"Islam (Religion, History, and Civilization)",14.99,60507144,Seyyed Hossein Nasr,Paperback,224,"HarperCollins (December 24, 2002)",English,7.04oz,"5.31"" x 8"" x 0.5""",48,InStock
Commentary on the Torah,30.99,60507179,Richard Elliott Friedman,Paperback,704,"HarperCollins (April 15, 2003)",English,29.6oz,"7.38"" x 9.25"" x 1.13""",12,InStock
Chu Ju's House,7.99,60507268,Gloria Whelan,Paperback,240,"HarperCollins (October 25, 2005)",English,5.76oz,"5.12"" x 7.62"" x 0.48""",72,InStock
Household Saints (A Novel),14.99,60507276,Francine Prose,Paperback,272,"HarperCollins (April 1, 2003)",English,8.56oz,"5.3125"" x 8"" x 0.6182""",52,InStock
Women and Children First (Stories),13.99,60507284,Francine Prose,Paperback,224,"HarperCollins (May 13, 2003)",English,6.8oz,"5.3125"" x 8"" x 0.5045""",80,InStock
"Let's Dance, Grandma!",16.99,60507470,"Nigel McMullen, Nigel McMullen",Hardcover,32,"HarperCollins (March 11, 2014)",English,12.16oz,"8"" x 10""",40,InStock
The Last Hero (A Discworld Fable),21.99,60507772,"Terry Pratchett, Paul Kidby",Paperback,176,"HarperCollins (August 20, 2002)",English,33.12oz,"9.25"" x 11""",16,InStock
Longaberger (An American Success Story),15.99,60507780,"David H. Longaberger, Robert L. Shook",Paperback,272,"HarperCollins (August 14, 2003)",English,11.2oz,"5.31"" x 8"" x 0.61""",30,InStock
The Provence Cookbook,35,60507829,Patricia Wells,Hardcover,352,"HarperCollins (April 13, 2004)",English,30.96oz,"7.38"" x 9.12"" x 1.08""",16,InStock
